"Kurihara Sae","栗原紗英","쿠리하라 사에","HKT48","D","1996","e"
"Naiki Kokoro","内木志","나이키 코코로","NMB48","C","1997","e"
"Asai Yuka","浅井裕華","아사이 유우카","SKE48","D","2003","e"
"Ahn Yewon","안예원","-","YG K-Plus","F","2001","e"
"Alex Christine","알렉스 크리스틴","-","ZB Label","C","1996","e"
"Jo Ahyoung","조아영","-","FNC Entertainment","B","2001","e"
"Ichikawa Manami","市川愛美","이치카와 마나미","AKB48","C","1999","e"
"Han Chowon","한초원","-","Cube Entertainment","B","2002","e"
"Choi Soeun","최소은","-","The Music Works","C","2001","e"
"Won Seoyeon","원서연","-","MMO Entertainment","F","2000","e"
"Jo Sarang","조사랑","-","Million Market","F","2003","e"
"Lee Chaejeong","이채정","-","MND17","C","1999","e"
"Kim Yubin","김유빈","-","CNC Entertainment","D","2002","e"
"Tsukiashi Amane","月足天音","츠키아시 아마네","HKT48","F","1999","e"
"Uemura Azusa","植村梓","우에무라 아즈사","NMB48","-","1999","e"
"Umeyama Cocona","梅山恋和)","우메야마 코코나","NMB48","-","2003","e"
